Name,Comment,Time,Dependencies
Write document,Incremental,17,no
Merge Basic Col IN,Main feature already implemented,2,9
Col IN examples,"Dislib, pi",1,3
Integrate Storage,Prepare figures and results,1,no
Threading IO,(De) Serialize with pyThreading,3,11
Col IN TXN improvement,Optimize network transfers,5,3
Col INOUT,Enable Col INOUT Handling,4,3
Col IN,Implement basic COL IN feature,4,10
Runtime familiarization,Learn Runtime structure,5,no
Bindings familiarization,Learn Bindings (Py + Commons) structure,2,10
